2001 Scottish National Park Populations - Postcode Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,,,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,
,1,The Cairngorms National Park,PH19 1AQ,0,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DX,25,
,1,The Cairngorms National Park,AB34 5PD,4,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EZ,7,
,1,The Cairngorms National Park,AB34 5PE,8,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DN,80,
,1,The Cairngorms National Park,AB34 5PH,3,,,2,The Loch Lomond and The Trossachs National Park,G83 8JH,30,
,1,The Cairngorms National Park,AB34 5PJ,1,,,2,The Loch Lomond and The Trossachs National Park,G83 8HT,50,
,1,The Cairngorms National Park,AB34 5PL,1,,,2,The Loch Lomond and The Trossachs National Park,G83 8JX,11,
,1,The Cairngorms National Park,AB34 5PN,16,,,2,The Loch Lomond and The Trossachs National Park,G83 8JW,9,
,1,The Cairngorms National Park,AB34 5PY,2,,,2,The Loch Lomond and The Trossachs National Park,G83 8JU,5,
,1,The Cairngorms National Park,AB34 5QA,0,,,2,The Loch Lomond and The Trossachs National Park,G83 8JT,36,
,1,The Cairngorms National Park,AB34 5NY,6,,,2,The Loch Lomond and The Trossachs National Park,G83 8JS,53,
,1,The Cairngorms National Park,PH20 1AZ,2,,,2,The Loch Lomond and The Trossachs National Park,G83 8JR,61,
,1,The Cairngorms National Park,PH20 1BQ,2,,,2,The Loch Lomond and The Trossachs National Park,G83 8JQ,31,
,1,The Cairngorms National Park,PH20 1BP,26,,,2,The Loch Lomond and The Trossachs National Park,G83 8JP,30,
,1,The Cairngorms National Park,PH20 1BL,16,,,2,The Loch Lomond and The Trossachs National Park,G83 8JN,156,
,1,The Cairngorms National Park,PH20 1BJ,30,,,2,The Loch Lomond and The Trossachs National Park,G83 8JZ,3,
,1,The Cairngorms National Park,PH20 1BH,17,,,2,The Loch Lomond and The Trossachs National Park,G83 8JJ,71,
,1,The Cairngorms National Park,PH20 1BG,6,,,2,The Loch Lomond and The Trossachs National Park,G83 8LA,43,
,1,The Cairngorms National Park,PH20 1BE,34,,,2,The Loch Lomond and The Trossachs National Park,G83 8JG,29,
,1,The Cairngorms National Park,PH20 1BD,29,,,2,The Loch Lomond and The Trossachs National Park,G83 8JF,32,
,1,The Cairngorms National Park,PH19 1AD,18,,,2,The Loch Lomond and The Trossachs National Park,G83 8JE,9,
,1,The Cairngorms National Park,PH20 1BA,35,,,2,The Loch Lomond and The Trossachs National Park,G83 8JD,6,
,1,The Cairngorms National Park,AB35 5TN,7,,,2,The Loch Lomond and The Trossachs National Park,G83 8JB,44,
,1,The Cairngorms National Park,PH20 1AY,38,,,2,The Loch Lomond and The Trossachs National Park,G83 8JA,37,
,1,The Cairngorms National Park,PH20 1AX,4,,,2,The Loch Lomond and The Trossachs National Park,G83 8HZ,35,
,1,The Cairngorms National Park,PH20 1AT,60,,,2,The Loch Lomond and The Trossachs National Park,G83 8HY,48,
,1,The Cairngorms National Park,PH20 1AR,78,,,2,The Loch Lomond and The Trossachs National Park,G83 8HX,41,
,1,The Cairngorms National Park,PH20 1AP,8,,,2,The Loch Lomond and The Trossachs National Park,G83 8HW,16,
,1,The Cairngorms National Park,PH20 1AN,49,,,2,The Loch Lomond and The Trossachs National Park,G63 0JU,0,
,1,The Cairngorms National Park,PH20 1AL,0,,,2,The Loch Lomond and The Trossachs National Park,G83 8JL,83,
,1,The Cairngorms National Park,PH20 1AH,16,,,2,The Loch Lomond and The Trossachs National Park,G83 8LY,18,
,1,The Cairngorms National Park,PH20 1BB,6,,,2,The Loch Lomond and The Trossachs National Park,G83 8NU,29,
,1,The Cairngorms National Park,AB37 9AR,24,,,2,The Loch Lomond and The Trossachs National Park,G83 8NT,0,
,1,The Cairngorms National Park,AB37 9EQ,8,,,2,The Loch Lomond and The Trossachs National Park,G83 8NR,4,
,1,The Cairngorms National Park,AB36 8YQ,2,,,2,The Loch Lomond and The Trossachs National Park,G83 8NQ,36,
,1,The Cairngorms National Park,AB36 8YR,7,,,2,The Loch Lomond and The Trossachs National Park,G83 8NL,25,
,1,The Cairngorms National Park,AB34 5EU,59,,,2,The Loch Lomond and The Trossachs National Park,G83 8NJ,0,
,1,The Cairngorms National Park,AB36 8YS,2,,,2,The Loch Lomond and The Trossachs National Park,G83 8NG,10,
,1,The Cairngorms National Park,AB36 8YT,7,,,2,The Loch Lomond and The Trossachs National Park,G83 8NF,48,
,1,The Cairngorms National Park,AB36 8YX,8,,,2,The Loch Lomond and The Trossachs National Park,G83 8NE,29,
,1,The Cairngorms National Park,AB37 9AN,17,,,2,The Loch Lomond and The Trossachs National Park,G83 8ND,38,
,1,The Cairngorms National Park,AB36 8YN,0,,,2,The Loch Lomond and The Trossachs National Park,G83 8JY,14,
,1,The Cairngorms National Park,AB37 9AQ,18,,,2,The Loch Lomond and The Trossachs National Park,G83 8NA,22,
,1,The Cairngorms National Park,AB36 8YL,25,,,2,The Loch Lomond and The Trossachs National Park,G83 8HS,74,
,1,The Cairngorms National Park,AB37 9DA,7,,,2,The Loch Lomond and The Trossachs National Park,G83 8LX,37,
,1,The Cairngorms National Park,AB37 9DB,31,,,2,The Loch Lomond and The Trossachs National Park,G83 8LW,81,
,1,The Cairngorms National Park,AB37 9DJ,11,,,2,The Loch Lomond and The Trossachs National Park,G83 8LU,22,
,1,The Cairngorms National Park,AB37 9DL,9,,,2,The Loch Lomond and The Trossachs National Park,G83 8LQ,13,
,1,The Cairngorms National Park,AB37 9EH,5,,,2,The Loch Lomond and The Trossachs National Park,G83 8LL,51,
,1,The Cairngorms National Park,AB37 9EL,1,,,2,The Loch Lomond and The Trossachs National Park,G83 8LJ,84,
,1,The Cairngorms National Park,AB37 9EN,3,,,2,The Loch Lomond and The Trossachs National Park,G83 8LG,3,
,1,The Cairngorms National Park,AB36 8UR,27,,,2,The Loch Lomond and The Trossachs National Park,G83 8LF,14,
,1,The Cairngorms National Park,AB37 9AP,5,,,2,The Loch Lomond and The Trossachs National Park,G83 8LE,25,
,1,The Cairngorms National Park,AB36 8XQ,6,,,2,The Loch Lomond and The Trossachs National Park,G83 8LD,30,
,1,The Cairngorms National Park,AB35 5TJ,24,,,2,The Loch Lomond and The Trossachs National Park,G83 8LB,6,
,1,The Cairngorms National Park,AB36 8UT,1,,,2,The Loch Lomond and The Trossachs National Park,G83 8NB,46,
,1,The Cairngorms National Park,AB36 8UX,8,,,2,The Loch Lomond and The Trossachs National Park,G83 7AL,57,
,1,The Cairngorms National Park,AB36 8XA,42,,,2,The Loch Lomond and The Trossachs National Park,G83 8HU,58,
,1,The Cairngorms National Park,AB36 8XB,2,,,2,The Loch Lomond and The Trossachs National Park,G83 7DB,82,
,1,The Cairngorms National Park,AB36 8XD,0,,,2,The Loch Lomond and The Trossachs National Park,G83 7DA,31,
,1,The Cairngorms National Park,AB36 8XJ,29,,,2,The Loch Lomond and The Trossachs National Park,G83 7BG,42,
,1,The Cairngorms National Park,AB36 8XL,30,,,2,The Loch Lomond and The Trossachs National Park,G83 7BE,21,
,1,The Cairngorms National Park,AB36 8YP,18,,,2,The Loch Lomond and The Trossachs National Park,G83 7BD,29,
,1,The Cairngorms National Park,AB36 8XP,7,,,2,The Loch Lomond and The Trossachs National Park,G83 7AW,60,
,1,The Cairngorms National Park,AB37 9ER,9,,,2,The Loch Lomond and The Trossachs National Park,G83 7AS,2,
,1,The Cairngorms National Park,AB36 8XR,1,,,2,The Loch Lomond and The Trossachs National Park,G83 7AR,33,
,1,The Cairngorms National Park,AB36 8XS,13,,,2,The Loch Lomond and The Trossachs National Park,G83 7AQ,38,
,1,The Cairngorms National Park,AB36 8XT,18,,,2,The Loch Lomond and The Trossachs National Park,G83 7DE,26,
,1,The Cairngorms National Park,AB36 8XX,11,,,2,The Loch Lomond and The Trossachs National Park,G83 7AN,50,
,1,The Cairngorms National Park,AB36 8YA,9,,,2,The Loch Lomond and The Trossachs National Park,G83 7DF,7,
,1,The Cairngorms National Park,AB36 8YB,10,,,2,The Loch Lomond and The Trossachs National Park,G83 7AJ,21,
,1,The Cairngorms National Park,AB36 8YD,3,,,2,The Loch Lomond and The Trossachs National Park,G83 7AH,25,
,1,The Cairngorms National Park,AB36 8YJ,2,,,2,The Loch Lomond and The Trossachs National Park,G83 7AG,65,
,1,The Cairngorms National Park,AB36 8XN,1,,,2,The Loch Lomond and The Trossachs National Park,G83 7AF,26,
,1,The Cairngorms National Park,AB37 9JR,8,,,2,The Loch Lomond and The Trossachs National Park,G83 7AE,23,
,1,The Cairngorms National Park,AB37 9EP,3,,,2,The Loch Lomond and The Trossachs National Park,G83 7AD,58,
,1,The Cairngorms National Park,AB37 9HW,6,,,2,The Loch Lomond and The Trossachs National Park,G83 7AB,32,
,1,The Cairngorms National Park,AB37 9HX,6,,,2,The Loch Lomond and The Trossachs National Park,G83 7AA,99,
,1,The Cairngorms National Park,AB37 9JA,20,,,2,The Loch Lomond and The Trossachs National Park,G63 0NH,15,
,1,The Cairngorms National Park,AB37 9JB,11,,,2,The Loch Lomond and The Trossachs National Park,G63 0JY,13,
,1,The Cairngorms National Park,AB37 9JE,19,,,2,The Loch Lomond and The Trossachs National Park,G63 0HW,9,
,1,The Cairngorms National Park,AB37 9JL,8,,,2,The Loch Lomond and The Trossachs National Park,G83 7AP,19,
,1,The Cairngorms National Park,AB37 9JN,25,,,2,The Loch Lomond and The Trossachs National Park,G83 7DXB,1,
,1,The Cairngorms National Park,AB37 9HT,21,,,2,The Loch Lomond and The Trossachs National Park,G83 8HR,0,
,1,The Cairngorms National Park,AB37 9JQ,17,,,2,The Loch Lomond and The Trossachs National Park,G83 8HP,12,
,1,The Cairngorms National Park,AB37 9HS,1,,,2,The Loch Lomond and The Trossachs National Park,G83 8HN,48,
,1,The Cairngorms National Park,AB37 9JS,41,,,2,The Loch Lomond and The Trossachs National Park,G83 8HL,53,
,1,The Cairngorms National Park,DD8 4QR,4,,,2,The Loch Lomond and The Trossachs National Park,G83 8EW,61,
,1,The Cairngorms National Park,DD8 4QS,3,,,2,The Loch Lomond and The Trossachs National Park,G83 8ER,42,
,1,The Cairngorms National Park,DD8 4RA,7,,,2,The Loch Lomond and The Trossachs National Park,G83 8EP,8,
,1,The Cairngorms National Park,DD8 4RB,0,,,2,The Loch Lomond and The Trossachs National Park,G83 8EN,4,
,1,The Cairngorms National Park,DD8 4RD,7,,,2,The Loch Lomond and The Trossachs National Park,G83 8EL,32,
,1,The Cairngorms National Park,DD9 7YY,23,,,2,The Loch Lomond and The Trossachs National Park,G83 8EJ,46,
,1,The Cairngorms National Park,DD9 7YZ,16,,,2,The Loch Lomond and The Trossachs National Park,G83 7DD,44,
,1,The Cairngorms National Park,AB37 9JP,8,,,2,The Loch Lomond and The Trossachs National Park,G83 7DZ,4,
,1,The Cairngorms National Park,AB37 9HF,0,,,2,The Loch Lomond and The Trossachs National Park,G83 8NY,34,
